Country,Year,Beginning Stocks,Arabica Production,Robusta Production,Other Production,Production,Bean Imports,Roast & Ground Imports,Soluble Imports,Imports,Total Supply,Bean Exports,Roast & Ground Exports,Soluble Exports,Exports,"Rst,Ground Dom. Consum",Soluble Dom. Cons.,Domestic Consumption,Ending Stocks,Total Distribution
New Caledonia,1991,0,5,0,0,5,0,0,0,0,5,0,0,0,0,5,0,5,0,5
New Zealand,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,1991,163,782,0,0,782,0,0,0,0,945,588,0,5,593,85,11,96,256,945
Nigeria,1991,3,0,90,0,90,4,5,23,32,125,9,0,0,9,113,0,113,3,125
North Macedonia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,1991,37,192,0,0,192,0,0,0,0,229,105,0,0,105,67,0,67,57,229
Papua New Guinea,1991,147,800,41,0,841,0,0,7,7,995,795,0,0,795,2,7,9,191,995
Paraguay,1991,160,40,0,0,40,0,0,0,0,200,85,0,0,85,15,0,15,100,200
Peru,1991,110,1150,0,0,1150,0,0,50,50,1310,1020,0,0,1020,130,50,180,110,1310
Philippines,1991,1262,105,640,205,950,0,0,0,0,2212,39,0,11,50,95,796,891,1271,2212
Russia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,1991,17,550,0,0,550,0,0,0,0,567,482,0,0,482,1,0,1,84,567
Saudi Arabia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1991,0,0,90,0,90,0,0,0,0,90,74,0,0,74,9,0,9,7,90
Singapore,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,1991,15,10,65,0,75,0,0,0,0,90,20,0,0,20,67,0,67,3,90
Switzerland,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,1991,408,640,150,0,790,0,0,0,0,1198,801,0,6,807,2,4,6,385,1198
Thailand,1991,40,10,990,0,1000,0,0,0,0,1040,805,0,0,805,160,0,160,75,1040
Togo,1991,70,0,432,0,432,0,0,0,0,502,316,0,0,316,1,0,1,185,502
Trinidad and Tobago,1991,0,1,14,0,15,0,0,6,6,21,2,0,0,2,19,0,19,0,21
Turkey,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1991,403,200,2700,0,2900,0,0,0,0,3303,2800,0,0,2800,55,0,55,448,3303
Ukraine,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1991,0,229,0,0,229,0,0,0,0,229,0,0,0,0,229,0,229,0,229
Uruguay,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,1991,57,1350,0,0,1350,0,0,0,0,1407,150,0,0,150,813,9,822,435,1407
Vietnam,1991,239,0,1980,0,1980,0,0,0,0,2219,1333,0,0,1333,250,0,250,636,2219
Yemen,1991,0,65,0,0,65,0,0,0,0,65,54,1,0,55,10,0,10,0,65
Yemen (Sanaa),1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,1991,0,15,0,0,15,0,0,0,0,15,12,0,0,12,3,0,3,0,15
Zimbabwe,1991,32,201,0,0,201,0,0,0,0,233,100,0,0,100,8,0,8,125,233
Albania,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,1992,116,0,80,0,80,0,0,0,0,196,68,0,0,68,59,0,59,69,196
Argentina,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,1992,0,0,35,0,35,0,0,0,0,35,34,0,0,34,1,0,1,0,35
Bolivia,1992,241,85,0,0,85,0,0,0,0,326,101,0,0,101,30,0,30,195,326
Bosnia and Herzegovina,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,1992,20322,19200,4800,0,24000,0,0,0,0,44322,13251,0,2645,15896,8100,400,8500,19926,44322
Burundi,1992,294,590,17,0,607,0,0,0,0,901,672,0,0,672,2,0,2,227,901
Cameroon,1992,183,212,625,0,837,0,0,5,5,1025,900,25,0,925,20,5,25,75,1025
Canada,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,1992,209,0,200,0,200,0,0,0,0,409,150,0,0,150,20,0,20,239,409
Chile,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,1992,7320,14950,0,0,14950,0,0,0,0,22270,14107,0,429,14536,1103,200,1303,6431,22270
Congo (Brazzaville),1992,2,0,25,0,25,0,0,0,0,27,25,0,0,25,1,0,1,1,27
Congo (Kinshasa),1992,185,300,1490,0,1790,0,0,0,0,1975,1600,0,0,1600,175,0,175,200,1975
Costa Rica,1992,959,2620,0,0,2620,0,0,0,0,3579,2662,0,0,2662,250,5,255,662,3579
Cote d'Ivoire,1992,4447,0,2500,0,2500,0,0,0,0,6947,4297,1,242,4540,20,19,39,2368,6947
Croatia,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,1992,289,335,0,0,335,0,0,0,0,624,116,0,0,116,195,0,195,313,624
Dominican Republic,1992,314,680,2,0,682,0,0,0,0,996,462,5,0,467,312,0,312,217,996
Ecuador,1992,119,820,740,0,1560,0,0,0,0,1679,936,10,332,1278,240,60,300,101,1679
Egypt,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,1992,594,2894,0,0,2894,0,0,0,0,3488,2900,1,55,2956,201,16,217,315,3488
Equatorial Guinea,1992,4,0,15,0,15,0,0,0,0,19,2,0,0,2,14,0,14,3,19
Ethiopia,1992,1260,3500,0,0,3500,0,0,0,0,4760,2200,0,0,2200,1500,0,1500,1060,4760
European Union,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,1992,0,0,25,0,25,0,0,0,0,25,3,0,0,3,22,0,22,0,25
Georgia,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,1992,5,0,20,0,20,0,0,0,0,25,15,0,0,15,5,0,5,5,25
Guatemala,1992,265,3553,31,0,3584,380,0,0,380,4229,3913,1,0,3914,300,10,310,5,4229
Guinea,1992,44,0,100,0,100,0,0,0,0,144,16,0,0,16,63,0,63,65,144
Guyana,1992,0,0,5,0,5,0,0,0,0,5,0,0,0,0,5,0,5,0,5
Haiti,1992,269,500,0,0,500,0,0,0,0,769,170,0,0,170,330,0,330,269,769
Honduras,1992,318,1981,0,0,1981,0,0,0,0,2299,2042,0,0,2042,227,0,227,30,2299
India,1992,1365,1300,1400,0,2700,0,0,0,0,4065,1745,0,75,1820,820,125,945,1300,4065
Indonesia,1992,745,450,6900,0,7350,18,2,0,20,8115,5146,4,0,5150,1743,37,1780,1185,8115
Iran,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,1992,8,29,0,0,29,0,0,0,0,37,25,1,0,26,6,0,6,5,37
Japan,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,1992,956,1215,2,0,1217,0,0,2,2,2175,1411,0,0,1411,20,2,22,742,2175
"Korea, South",1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,1992,0,2,118,0,120,0,0,0,0,120,119,0,0,119,1,0,1,0,120
Liberia,1992,0,0,25,0,25,0,0,0,0,25,0,0,0,0,25,0,25,0,25
Madagascar,1992,784,20,980,0,1000,0,0,0,0,1784,720,0,0,720,350,0,350,714,1784
Malawi,1992,0,137,0,0,137,0,0,0,0,137,109,0,0,109,2,0,2,26,137
Malaysia,1992,8,0,5,70,75,120,5,10,135,218,8,1,1,10,200,0,200,8,218
Mexico,1992,302,3980,200,0,4180,40,0,35,75,4557,2970,40,50,3060,700,600,1300,197,4557
Montenegro,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,1992,0,5,0,0,5,0,0,0,0,5,0,0,0,0,5,0,5,0,5
New Zealand,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,1992,256,545,0,0,545,0,0,0,0,801,496,0,20,516,70,10,80,205,801
Nigeria,1992,3,0,40,0,40,11,7,14,32,75,13,0,0,13,59,0,59,3,75
North Macedonia,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,1992,57,172,0,0,172,0,0,0,0,229,156,4,0,160,57,0,57,12,229
Papua New Guinea,1992,191,1000,30,0,1030,0,0,8,8,1229,943,1,0,944,2,8,10,275,1229
Paraguay,1992,100,60,0,0,60,0,0,0,0,160,49,0,0,49,15,0,15,96,160
Peru,1992,110,1190,0,0,1190,0,0,50,50,1350,1117,0,0,1117,130,50,180,53,1350
Philippines,1992,1271,100,600,200,900,0,0,0,0,2171,9,0,12,21,105,943,1048,1102,2171
Russia,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,1992,84,650,0,0,650,0,0,0,0,734,642,0,0,642,1,0,1,91,734
Saudi Arabia,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,1992,7,0,90,0,90,0,0,0,0,97,43,0,0,43,9,0,9,45,97
Singapore,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,1992,3,10,40,0,50,0,0,0,0,53,7,0,0,7,28,0,28,18,53
Switzerland,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,1992,385,792,200,0,992,0,0,0,0,1377,942,0,10,952,15,4,19,406,1377
Thailand,1992,75,10,1165,0,1175,0,0,0,0,1250,1031,0,0,1031,160,0,160,59,1250
Togo,1992,185,0,86,0,86,0,0,0,0,271,214,0,0,214,1,0,1,56,271
Trinidad and Tobago,1992,0,1,14,0,15,0,0,6,6,21,5,0,0,5,16,0,16,0,21
Turkey,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,1992,448,200,2600,0,2800,0,0,0,0,3248,2800,0,0,2800,55,0,55,393,3248
Ukraine,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1992,0,225,0,0,225,0,0,0,0,225,0,0,0,0,225,0,225,0,225
Uruguay,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,1992,435,750,0,0,750,0,0,0,0,1185,150,22,0,172,790,9,799,214,1185
Vietnam,1992,636,0,2250,0,2250,0,0,0,0,2886,2175,0,0,2175,250,0,250,461,2886
Yemen,1992,0,65,0,0,65,0,0,0,0,65,54,1,0,55,10,0,10,0,65
Yemen (Sanaa),1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,1992,0,28,0,0,28,0,0,0,0,28,25,0,0,25,3,0,3,0,28
Zimbabwe,1992,125,78,0,0,78,0,0,0,0,203,115,0,0,115,8,0,8,80,203
